PCB_Index,Trace_Index,Node_Index,X,Y,Z,Layer
1,0,0,-20.661,-0.821,1,1
1,0,1,-19.961,-0.821,1,1
1,0,2,-19.042,0.098,1,1
1,0,3,-16.542,0.098,1,1
1,0,4,-15.269,-1.175,1,1
1,0,5,-13.949,-1.175,1,1
1,0,6,-12.874,-0.1,1,1
1,0,7,-10.884,-0.1,1,1
1,0,8,-9.774,1.01,1,1
1,0,9,-8.564,1.01,1,1
1,0,10,-6.485,-1.069,1,1
1,1,0,-20.661,-1.021,1,1
1,1,1,-19.961,-1.021,1,1
1,1,2,-19.042,-0.102,1,1
1,1,3,-16.542,-0.102,1,1
1,1,4,-15.269,-1.375,1,1
1,1,5,-13.949,-1.375,1,1
1,1,6,-12.874,-0.3,1,1
1,1,7,-10.884,-0.3,1,1
1,1,8,-9.774,0.81,1,1
1,1,9,-8.564,0.81,1,1
1,1,10,-6.485,-1.269,1,1
2,0,0,-22.666,1.989,1,1
2,0,1,-21.457,3.198,1,1
2,0,2,-20.307,3.198,1,1
2,0,3,-18.963,4.542,1,1
2,0,4,-18.633,4.542,1,1
2,0,5,-17.905,3.814,1,1
2,0,6,-16.825,3.814,1,1
2,0,7,-16.5,3.489,1,1
2,0,8,-15.16,3.489,1,1
2,0,9,-14.099,4.55,1,1
2,0,10,-13.239,4.55,1,1
2,1,0,-22.666,1.789,1,1
2,1,1,-21.457,2.998,1,1
2,1,2,-20.307,2.998,1,1
2,1,3,-18.963,4.342,1,1
2,1,4,-18.633,4.342,1,1
2,1,5,-17.905,3.614,1,1
2,1,6,-16.825,3.614,1,1
2,1,7,-16.5,3.289,1,1
2,1,8,-15.16,3.289,1,1
2,1,9,-14.099,4.35,1,1
2,1,10,-13.239,4.35,1,1
3,0,0,-23.541,-0.811,1,1
3,0,1,-21.381,-0.811,1,1
3,0,2,-20.32,0.25,1,1
3,0,3,-17.88,0.25,1,1
3,0,4,-17.017,-0.613,1,1
3,0,5,-14.177,-0.613,1,1
3,0,6,-12.883,-1.907,1,1
3,0,7,-10.793,-1.907,1,1
3,0,8,-10.058,-2.642,1,1
3,0,9,-8.548,-2.642,1,1
3,0,10,-8.145,-3.045,1,1
3,1,0,-23.541,-1.011,1,1
3,1,1,-21.381,-1.011,1,1
3,1,2,-20.32,0.05,1,1
3,1,3,-17.88,0.05,1,1
3,1,4,-17.017,-0.813,1,1
3,1,5,-14.177,-0.813,1,1
3,1,6,-12.883,-2.107,1,1
3,1,7,-10.793,-2.107,1,1
3,1,8,-10.058,-2.842,1,1
3,1,9,-8.548,-2.842,1,1
3,1,10,-8.145,-3.245,1,1
4,0,0,-22.837,1.079,1,1
4,0,1,-20.717,1.079,1,1
4,0,2,-19.416,-0.222,1,1
4,0,3,-17.906,-0.222,1,1
4,0,4,-16.513,1.171,1,1
4,0,5,-15.213,1.171,1,1
4,0,6,-14.987,0.945,1,1
4,0,7,-12.987,0.945,1,1
4,0,8,-11.149,2.783,1,1
4,0,9,-8.169,2.783,1,1
4,0,10,-6.854,4.098,1,1
4,1,0,-22.837,0.879,1,1
4,1,1,-20.717,0.879,1,1
4,1,2,-19.416,-0.422,1,1
4,1,3,-17.906,-0.422,1,1
4,1,4,-16.513,0.971,1,1
4,1,5,-15.213,0.971,1,1
4,1,6,-14.987,0.745,1,1
4,1,7,-12.987,0.745,1,1
4,1,8,-11.149,2.583,1,1
4,1,9,-8.169,2.583,1,1
4,1,10,-6.854,3.898,1,1
5,0,0,-21.145,-1.814,1,1
5,0,1,-20.021,-2.938,1,1
5,0,2,-17.471,-2.938,1,1
5,0,3,-15.816,-4.593,1,1
5,0,4,-15.486,-4.593,1,1
5,0,5,-14.199,-5.88,1,1
5,0,6,-11.659,-5.88,1,1
5,0,7,-10.98,-6.559,1,1
5,0,8,-9.98,-6.559,1,1
5,0,9,-9.223,-5.802,1,1
5,0,10,-6.513,-5.802,1,1
5,1,0,-21.145,-2.014,1,1
5,1,1,-20.021,-3.138,1,1
5,1,2,-17.471,-3.138,1,1
5,1,3,-15.816,-4.793,1,1
5,1,4,-15.486,-4.793,1,1
5,1,5,-14.199,-6.08,1,1
5,1,6,-11.659,-6.08,1,1
5,1,7,-10.98,-6.759,1,1
5,1,8,-9.98,-6.759,1,1
5,1,9,-9.223,-6.002,1,1
5,1,10,-6.513,-6.002,1,1
6,0,0,-23.901,1.969,1,1
6,0,1,-23.357,2.513,1,1
6,0,2,-21.977,2.513,1,1
6,0,3,-20.98,1.516,1,1
6,0,4,-19.13,1.516,1,1
6,0,5,-18.529,0.915,1,1
6,0,6,-18.109,0.915,1,1
6,0,7,-16.667,-0.527,1,1
6,0,8,-15.317,-0.527,1,1
6,0,9,-13.917,0.873,1,1
6,0,10,-12.617,0.873,1,1
6,1,0,-23.901,1.769,1,1
6,1,1,-23.357,2.313,1,1
6,1,2,-21.977,2.313,1,1
6,1,3,-20.98,1.316,1,1
6,1,4,-19.13,1.316,1,1
6,1,5,-18.529,0.715,1,1
6,1,6,-18.109,0.715,1,1
6,1,7,-16.667,-0.727,1,1
6,1,8,-15.317,-0.727,1,1
6,1,9,-13.917,0.673,1,1
6,1,10,-12.617,0.673,1,1
7,0,0,-22.696,-0.956,1,1
7,0,1,-22.088,-1.564,1,1
7,0,2,-20.078,-1.564,1,1
7,0,3,-18.727,-2.915,1,1
7,0,4,-17.877,-2.915,1,1
7,0,5,-16.321,-4.471,1,1
7,0,6,-15.271,-4.471,1,1
7,0,7,-13.814,-3.014,1,1
7,0,8,-10.884,-3.014,1,1
7,0,9,-8.819,-0.949,1,1
7,0,10,-6.619,-0.949,1,1
7,1,0,-22.696,-1.156,1,1
7,1,1,-22.088,-1.764,1,1
7,1,2,-20.078,-1.764,1,1
7,1,3,-18.727,-3.115,1,1
7,1,4,-17.877,-3.115,1,1
7,1,5,-16.321,-4.671,1,1
7,1,6,-15.271,-4.671,1,1
7,1,7,-13.814,-3.214,1,1
7,1,8,-10.884,-3.214,1,1
7,1,9,-8.819,-1.149,1,1
7,1,10,-6.619,-1.149,1,1
8,0,0,-20.628,-1.857,1,1
8,0,1,-20.198,-1.857,1,1
8,0,2,-19.767,-1.426,1,1
8,0,3,-17.487,-1.426,1,1
8,0,4,-15.67,-3.243,1,1
8,0,5,-15.03,-3.243,1,1
8,0,6,-14.125,-4.148,1,1
8,0,7,-11.205,-4.148,1,1
8,0,8,-10.625,-4.728,1,1
8,0,9,-8.715,-4.728,1,1
8,0,10,-7.965,-5.478,1,1
8,1,0,-20.628,-2.057,1,1
8,1,1,-20.198,-2.057,1,1
8,1,2,-19.767,-1.626,1,1
8,1,3,-17.487,-1.626,1,1
8,1,4,-15.67,-3.443,1,1
8,1,5,-15.03,-3.443,1,1
8,1,6,-14.125,-4.348,1,1
8,1,7,-11.205,-4.348,1,1
8,1,8,-10.625,-4.928,1,1
8,1,9,-8.715,-4.928,1,1
8,1,10,-7.965,-5.678,1,1
9,0,0,-22.561,-0.884,1,1
9,0,1,-21.599,0.078,1,1
9,0,2,-19.999,0.078,1,1
9,0,3,-18.132,1.945,1,1
9,0,4,-17.002,1.945,1,1
9,0,5,-15.489,3.458,1,1
9,0,6,-14.669,3.458,1,1
9,0,7,-14.04,4.087,1,1
9,0,8,-11.28,4.087,1,1
9,0,9,-9.944,2.751,1,1
9,0,10,-9.364,2.751,1,1
9,1,0,-22.561,-1.084,1,1
9,1,1,-21.599,-0.122,1,1
9,1,2,-19.999,-0.122,1,1
9,1,3,-18.132,1.745,1,1
9,1,4,-17.002,1.745,1,1
9,1,5,-15.489,3.258,1,1
9,1,6,-14.669,3.258,1,1
9,1,7,-14.04,3.887,1,1
9,1,8,-11.28,3.887,1,1
9,1,9,-9.944,2.551,1,1
9,1,10,-9.364,2.551,1,1
10,0,0,-23.601,1.578,1,1
10,0,1,-21.614,3.565,1,1
10,0,2,-19.454,3.565,1,1
10,0,3,-18.415,4.604,1,1
10,0,4,-16.535,4.604,1,1
10,0,5,-15.998,4.067,1,1
10,0,6,-15.248,4.067,1,1
10,0,7,-14.711,3.53,1,1
10,0,8,-12.441,3.53,1,1
10,0,9,-11.31,4.661,1,1
10,0,10,-9.58,4.661,1,1
10,1,0,-23.601,1.378,1,1
10,1,1,-21.614,3.365,1,1
10,1,2,-19.454,3.365,1,1
10,1,3,-18.415,4.404,1,1
10,1,4,-16.535,4.404,1,1
10,1,5,-15.998,3.867,1,1
10,1,6,-15.248,3.867,1,1
10,1,7,-14.711,3.33,1,1
10,1,8,-12.441,3.33,1,1
10,1,9,-11.31,4.461,1,1
10,1,10,-9.58,4.461,1,1
11,0,0,-23.198,-2.042,1,1
11,0,1,-21.808,-2.042,1,1
11,0,2,-20.16,-3.69,1,1
11,0,3,-19.85,-3.69,1,1
11,0,4,-18.655,-2.495,1,1
11,0,5,-17.465,-2.495,1,1
11,0,6,-16.086,-3.874,1,1
11,0,7,-14.516,-3.874,1,1
11,0,8,-13.851,-4.539,1,1
11,0,9,-13.361,-4.539,1,1
11,0,10,-12.668,-5.232,1,1
11,1,0,-23.198,-2.242,1,1
11,1,1,-21.808,-2.242,1,1
11,1,2,-20.16,-3.89,1,1
11,1,3,-19.85,-3.89,1,1
11,1,4,-18.655,-2.695,1,1
11,1,5,-17.465,-2.695,1,1
11,1,6,-16.086,-4.074,1,1
11,1,7,-14.516,-4.074,1,1
11,1,8,-13.851,-4.739,1,1
11,1,9,-13.361,-4.739,1,1
11,1,10,-12.668,-5.432,1,1
12,0,0,-21.829,2.035,1,1
12,0,1,-19.019,2.035,1,1
12,0,2,-18.559,1.575,1,1
12,0,3,-17.559,1.575,1,1
12,0,4,-17.114,2.02,1,1
12,0,5,-14.654,2.02,1,1
12,0,6,-14.258,1.624,1,1
12,0,7,-13.098,1.624,1,1
12,0,8,-11.832,2.89,1,1
12,0,9,-11.292,2.89,1,1
12,0,10,-10.769,3.413,1,1
12,1,0,-21.829,1.835,1,1
12,1,1,-19.019,1.835,1,1
12,1,2,-18.559,1.375,1,1
12,1,3,-17.559,1.375,1,1
12,1,4,-17.114,1.82,1,1
12,1,5,-14.654,1.82,1,1
12,1,6,-14.258,1.424,1,1
12,1,7,-13.098,1.424,1,1
12,1,8,-11.832,2.69,1,1
12,1,9,-11.292,2.69,1,1
12,1,10,-10.769,3.213,1,1
13,0,0,-20.848,-0.628,1,1
13,0,1,-19.229,-2.247,1,1
13,0,2,-16.559,-2.247,1,1
13,0,3,-16.106,-1.794,1,1
13,0,4,-14.956,-1.794,1,1
13,0,5,-13.966,-0.804,1,1
13,0,6,-13.496,-0.804,1,1
13,0,7,-12.647,-1.653,1,1
13,0,8,-10.007,-1.653,1,1
13,0,9,-9.752,-1.398,1,1
13,0,10,-8.642,-1.398,1,1
13,1,0,-20.848,-0.828,1,1
13,1,1,-19.229,-2.447,1,1
13,1,2,-16.559,-2.447,1,1
